route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
LTFRB_PUJ2117,724594,724833,,,,,0,
LTFRB_PUJ1463,724594,724834,,,,,0,
LTFRB_PUJ1129,724594,724835,,,,,0,
LTFRB_PUJ1865,724594,724836,,,,,0,
LTFRB_PUJ2323,724594,724837,,,,,0,
LTFRB_PUJ2149,724594,724838,,,,,0,
LTFRB_PUJ2491,724594,724839,,,,,0,
LTFRB_PUJ1574,724594,724840,,,,,0,
LTFRB_PUJ2092,724594,724841,,,,,0,
LTFRB_PUJ1603,724594,724842,,,,,0,
LTFRB_PUJ1342,724594,724843,,,,,0,
LTFRB_PUJ1847,724594,724844,,,,,0,
LTFRB_PUJ2536,724594,724845,,,,,0,
LTFRB_PUJ1322,724594,724846,,,,,0,
LTFRB_PUJ1018,724594,724847,,,,,0,
LTFRB_PUJ2325,724594,724848,,,,,0,
LTFRB_PUJ1683,724594,724849,,,,,0,
LTFRB_PUJ2213,724594,724850,,,,,0,
LTFRB_PUB1012,724594,724851,,,,,0,
LTFRB_PUJ2025,724594,724852,,,,,0,
LTFRB_PUJ1636,724594,724853,,,,,0,
LTFRB_PUJ1986,724594,724854,,,,,0,
LTFRB_PUJ2006,724594,724855,,,,,0,
LTFRB_PUJ2226,724594,724856,,,,,0,
LTFRB_PUJ1958,724594,724857,,,,,0,
LTFRB_PUJ1595,724594,724858,,,,,0,
LTFRB_PUJ1037,724594,724859,,,,,0,
LTFRB_PUJ1957,724594,724860,,,,,0,
LTFRB_PUJ1459,724594,724861,,,,,0,
LTFRB_PUB1101,724594,724862,,,,,0,
LTFRB_PUB1005,724594,724863,,,,,0,
LTFRB_PUB1108,724594,724864,,,,,0,
LTFRB_PUJ1070,724594,724865,,,,,0,
LTFRB_PUJ1765,724594,724866,,,,,0,
LTFRB_PUJ1668,724594,724867,,,,,0,
LTFRB_PUJ1362,724594,724868,,,,,0,
LTFRB_PUJ2084,724594,724869,,,,,0,
LTFRB_PUJ1616,724594,724870,,,,,0,
LTFRB_PUJ1640,724594,724871,,,,,0,
LTFRB_PUJ2314,724594,724872,,,,,0,
LTFRB_PUJ1050,724594,724873,,,,,0,
LTFRB_PUJ2093,724594,724874,,,,,0,
LTFRB_PUJ1369,724594,724875,,,,,0,
LTFRB_PUJ1712,724594,724876,,,,,0,
LTFRB_PUJ1425,724594,724877,,,,,0,
LTFRB_PUJ1490,724594,724878,,,,,0,
LTFRB_PUJ1081,724594,724879,,,,,0,
LTFRB_PUJ1830,724594,724880,,,,,0,
LTFRB_PUJ1086,724594,724881,,,,,0,
LTFRB_PUJ2308,724594,724882,,,,,0,
LTFRB_PUJ1715,724594,724883,,,,,0,
LTFRB_PUJ1820,724594,724884,,,,,0,
LTFRB_PUJ1698,724594,724885,,,,,0,
LTFRB_PUJ1746,724594,724886,,,,,0,
LTFRB_PUJ2485,724594,724887,,,,,0,
LTFRB_PUJ1188,724594,724888,,,,,0,
LTFRB_PUB1084,724594,724889,,,,,0,
LTFRB_PUJ1893,724594,724890,,,,,0,
LTFRB_PUJ1285,724594,724891,,,,,0,
LTFRB_PUJ1471,724594,724892,,,,,0,
LTFRB_PUJ1897,724594,724893,,,,,0,
LTFRB_PUJ1689,724594,724894,,,,,0,
LTFRB_PUB1038,724594,724895,,,,,0,
LTFRB_PUJ1446,724594,724896,,,,,0,
LTFRB_PUJ1152,724594,724897,,,,,0,
LTFRB_PUB1188,724594,724898,,,,,0,
LTFRB_PUB1178,724594,724899,,,,,0,
LTFRB_PUJ2406,724594,724900,,,,,0,
LTFRB_PUJ1554,724594,724901,,,,,0,
LTFRB_PUJ1496,724594,724902,,,,,0,
LTFRB_PUB1035,724594,724903,,,,,0,
LTFRB_PUJ2253,724594,724904,,,,,0,
LTFRB_PUJ1443,724594,724905,,,,,0,
LTFRB_PUJ1381,724594,724906,,,,,0,
LTFRB_PUJ2261,724594,724907,,,,,0,
LTFRB_PUJ2310,724594,724908,,,,,0,
LTFRB_PUJ1047,724594,724909,,,,,0,
LTFRB_PUJ1438,724594,724910,,,,,0,
LTFRB_PUJ2168,724594,724911,,,,,0,
LTFRB_PUJ1087,724594,724912,,,,,0,
LTFRB_PUJ2447,724594,724913,,,,,0,
LTFRB_PUJ1010,724594,724914,,,,884370,0,
LTFRB_PUJ2585,724594,724915,,,,,0,
LTFRB_PUJ2531,724594,724916,,,,,0,
LTFRB_PUJ2367,724594,724917,,,,,0,
LTFRB_PUJ1145,724594,724918,,,,,0,
LTFRB_PUJ2061,724594,724919,,,,,0,
LTFRB_PUJ2174,724594,724920,,,,,0,
LTFRB_PUJ1823,724594,724921,,,,,0,
LTFRB_PUJ1367,724594,724922,,,,,0,
LTFRB_PUJ1011,724594,724923,,,,884371,0,
LTFRB_PUJ2303,724594,724924,,,,,0,
LTFRB_PUJ2171,724594,724925,,,,,0,
LTFRB_PUJ2557,724594,724926,,,,,0,
LTFRB_PUJ1578,724594,724927,,,,,0,
LTFRB_PUB1079,724594,724928,,,,,0,
LTFRB_PUJ2436,724594,724929,,,,,0,
LTFRB_PUJ2474,724594,724930,,,,,0,
LTFRB_PUJ1429,724594,724931,,,,,0,
LTFRB_PUJ1952,724594,724932,,,,,0,
LTFRB_PUJ1980,724594,724933,,,,,0,
LTFRB_PUJ1772,724594,724934,,,,,0,
LTFRB_PUJ1542,724594,724935,,,,,0,
LTFRB_PUJ1727,724594,724936,,,,,0,
LTFRB_PUJ2327,724594,724937,,,,,0,
LTFRB_PUJ1530,724594,724938,,,,,0,
